問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1),難易度(1-5)
ウーパールーパーの幻の色とされ、現在は出現率が0%となっている色はどれか,赤色,緑色,黒色,虹色,1,マインクラフト,5
「コンポスター」にアイテムを入れた際、1回目だけはどのアイテムでも必ずどうなる仕様があるか,堆肥化しない,1段階層が上がる,骨粉ができる,確率で下がる,1,マインクラフト,5
統合版で、防具立てにガラスを持たせて海を覗くとどうなるバグ(仕様)があったか,魚が集まる,水が透過して底が見える,溺死ゾンビが逃げる,呼吸ができる,1,マインクラフト,4
「青くなったジャガイモ」のおすすめ度(ゲームエイト基準)は星いくつか,星1,星2,星3,星4,0,マインクラフト,2
「氷渡り」のエンチャントを付与できる装備部位はどれか,ヘルメット,チェストプレート,レギンス,ブーツ,3,マインクラフト,2
「忠誠」のエンチャントが付いたトライデントが戻ってこない条件はどれか,インベントリが満タンの時,奈落に落ちた時,敵に刺さったままの時,雨が降っている時,1,マインクラフト,3
「石工」の村人が使用する職業ブロックはどれか,石臼,砥石,ストーンカッター(石切台),溶鉱炉,2,マインクラフト,2
Java版限定のエンチャント「範囲ダメージ増加」の効果は何か,弓の射程が伸びる,なぎ払い攻撃のダメージが増加する,爆発の範囲が広がる,トライデントの判定が大きくなる,1,マインクラフト,3
「修繕」のエンチャント効果は何を消費して耐久値を回復するか,鉄インゴット,経験値,ラピスラズリ,満腹度,1,マインクラフト,1
次のうち、統合版(Switch)で盾に特定の旗の模様をつけると耐久値が全回復するバグで使用される旗はどれか,海賊の旗,邪悪な村人の旗,白い旗,ドラゴンの旗,1,マインクラフト,5
「スノーゴーレム」が極めて稀に自然スポーンする条件は何か,雪ブロックとカボチャが偶然生成配置される,氷原バイオームで雷が落ちる,雪祭りの日にスポーンする,村人が雪玉を投げる,0,マインクラフト,5
ジュークボックスのクラフトにダイヤモンドが必要な理由の元ネタとなった発明家は誰か,テスラ,エジソン,ベル,ライト兄弟,1,マインクラフト,4
Ver1.21で追加された新要素で、「不吉な予感」を持った状態で「試練の間」に入ると発動するイベントは何か,襲撃イベント,試練の予感,不吉な試練,パンデミック,1,マインクラフト,3
Ver1.21で追加された「滲出(しんしゅつ)のポーション」を醸造するために必要な素材はどれか,スライムボール,マグマクリーム,スライムブロック,粘着ピストン,2,マインクラフト,4
Ver1.21で追加された「巣張りのポーション」を醸造するために必要な素材はどれか,クモの目,発酵したクモの目,クモの糸,クモの巣,3,マインクラフト,4
Ver1.21で追加された「蓄風のポーション」を醸造するために必要な素材はどれか,ブリーズロッド,ウィンドチャージ,ガストの涙,ファントムの皮膜,0,マインクラフト,4
Ver1.21で追加された新モブ「ボグド」に対してハサミを使うと入手できるアイテムは何か,毒の矢,キノコ,骨,苔ブロック,1,マインクラフト,4
「試練の間」にある「宝物庫」を開けるために必要なアイテムはどれか,不吉な瓶,試練の鍵,エンダーアイ,トライアルマップ,1,マインクラフト,2
「アルマジロの鱗(甲羅)」を使って作成できる、オオカミ用の装備はどれか,オオカミの鞍,オオカミの靴,オオカミの鎧,オオカミの剣,2,マインクラフト,2
統合版(Switch)において、製図台を使って地図を拡張する際、最大で何回まで拡張(ズームアウト)できるか,2回,3回,4回,5回,2,マインクラフト,3
地図を作成した際、拡張していない初期サイズ(等倍)の表示範囲は何ブロックか,64x64,128x128,256x256,512x512,1,マインクラフト,4
村人を「革細工師」に就職させるために必要な職業ブロックはどれか,機織り機,大釜,樽,溶鉱炉,1,マインクラフト,2
村人を「肉屋」に就職させるために必要な職業ブロックはどれか,焚き火,燻製器,かまど,溶鉱炉,1,マインクラフト,2
村人を「矢師」に就職させるために必要な職業ブロックはどれか,矢細工台,作業台,鍛冶台,製図台,0,マインクラフト,2
村人を「聖職者」に就職させるために必要な職業ブロックはどれか,エンチャントテーブル,書見台,調合台(醸造台),石切台,2,マインクラフト,2
村人を「釣り人」に就職させるために必要な職業ブロックはどれか,コンポスター,大釜,樽,チェスト,2,マインクラフト,2
食料の中で、単体での満腹度回復量が「10」と最も高いアイテムはどれか,ステーキ,金のニンジン,パンプキンパイ,ウサギシチュー,3,マインクラフト,3
ケーキを設置して1切れ食べた時の満腹度回復量はいくつか,2,4,6,8,0,マインクラフト,4
「コンポスター」に入れた際、100%の確率で堆肥レベルが上がるアイテムはどれか,パン,ジャガイモ,スイカの薄切り,ケーキ,3,マインクラフト,5
「シュルカーボックス」の底面のテクスチャと同じ模様をしているブロックはどれか,樽,古代の残骸(ガレキ),玄武岩,エンドストーン,1,マインクラフト,5
満月の夜に湿地帯でスライムがスポーンする確率は、通常と比べてどうなるか,変化しない,0になる,1.5倍になる,2倍になる,3,マインクラフト,4
満月の夜にスポーンするネコのうち、50%の確率で出現する種類はどれか,三毛猫,白猫,黒猫,トラ猫,2,マインクラフト,4
ガストの悲鳴のような鳴き声の元となっている音は何か,赤ちゃんの泣き声,猫の鳴き声,バイオリンの音,風の音,1,マインクラフト,4
ピグリンの怒りレベルが「3(重度・死ぬまで許さない)」に達する条件はどれか,金装備を外す,チェストを開ける,金ブロックを壊す,ピグリン自身を攻撃する,3,マインクラフト,4
未使用データの「ゾンビホース」のテクスチャファイルに隠されているアイテムの模様は何か,鞍(サドル),手綱,鉄の馬鎧,ニンジン付きの棒,0,マインクラフト,5
コウモリのスポーン率が通常の2倍になる期間はいつか,お正月(1/1-1/3),エイプリルフール(4/1),ハロウィン(10/20-11/3),クリスマス(12/24-12/25),2,マインクラフト,4
エンチャントテーブルに表示される「銀河標準語」を解読すると出てくる、ある有名なゲームシリーズの名前は何か,ドラゴンクエスト,ファイナルファンタジー,The Elder Scrolls,ゼルダの伝説,2,マインクラフト,5
「リスポーンアンカー」の環境音を逆再生すると何の音になるか,エンドポータル,ネザーポータル,ガストの声,ビーコンの起動音,1,マインクラフト,5
「怪しげなシチュー」が追加された理由として、開発者がプレイヤーに教えたかったことは何か,キノコは体に良いこと,花は食べられること,スズランには毒があること,シチューは美味しいこと,2,マインクラフト,5
ホグリンが恐れて避けるアイテムは「歪んだ菌類(キノコ)」「リスポーンアンカー」とあと一つは何か,松明,魂のランタン,ネザーポータル,くり抜かれたカボチャ,2,マインクラフト,4
アイアンゴーレムが持っている意外な耐性(能力)は何か,火炎耐性,落下耐性,爆発耐性,水中呼吸(溺れない),3,マインクラフト,4
アレイに「アメジストの欠片」を与えるとどうなるか,回復する,アイテムを落とす,増殖する,敵対する,2,マインクラフト,3
ジャングル以外で「竹」を入手できる構造物はどれか,村,廃坑,ピラミッド,難破船(沈没船),3,マインクラフト,4
マインクラフト内に存在する構造物の中で、最もサイズが小さいとされるものはどれか,井戸,魔女の小屋,イグルー,埋もれた宝,3,マインクラフト,5
クッキーの作成レシピにおいて、現実のクッキーとは異なり使用されていない材料は何か,小麦,カカオ豆,砂糖,牛乳,2,マインクラフト,3
コマンドでワールドボーダーを「広げる」際、ボーダーの色は何色になるか,青色,赤色,緑色,黄色,2,マインクラフト,5
ポーション醸造で「マグマクリーム」を作成する際に必要な材料は「スライムボール」と何か,マグマブロック,ブレイズパウダー,火薬,ガストの涙,1,マインクラフト,3
「暗視のポーション」に「発酵したクモの目」を加えると何に変化するか,盲目のポーション,透明化のポーション,弱化のポーション,衰弱のポーション,1,マインクラフト,3
「治癒(回復)のポーション」に「発酵したクモの目」を加えると何に変化するか,再生のポーション,毒のポーション,負傷(ダメージ)のポーション,弱化のポーション,2,マインクラフト,3
「タートルマスターのポーション」を作成するために必要な材料はどれか,カメの卵,カメの甲羅(ウミガメの鱗),シーグラス,プリズマリンクリスタル,1,マインクラフト,3
「ファントムの皮膜」を材料として作成できるポーションはどれか,透明化のポーション,浮遊のポーション,低速落下のポーション,暗視のポーション,2,マインクラフト,3
「きらめくスイカの薄切り」を材料として作成できるポーションはどれか,再生のポーション,治癒(回復)のポーション,力のポーション,耐火のポーション,1,マインクラフト,3
「フグ」を材料として作成できるポーションはどれか,毒のポーション,水中呼吸のポーション,水中歩行のポーション,幸運のポーション,1,マインクラフト,3
「ウサギの足」を材料として作成できるポーションはどれか,俊敏のポーション,跳躍のポーション,幸運のポーション,低速落下のポーション,1,マインクラフト,3
「ガストの涙」を材料として作成できるポーションはどれか,治癒のポーション,再生のポーション,耐火のポーション,低速落下のポーション,1,マインクラフト,3
「クモの目」をそのまま材料として作成できるポーションはどれか,毒のポーション,弱化のポーション,鈍化のポーション,負傷のポーション,0,マインクラフト,3
統合版(Switch)において、ピストンとレバーを使って高速で職業をリセットし、特定のエンチャント本を狙うテクニックは何と呼ばれるか,職業リセマラ,司書ガチャ,エンチャント厳選,村人ルーレット,1,マインクラフト,2
司書ガチャで最も当たりとされ、耐久値を経験値で回復できるエンチャントは何か,耐久力,修繕,効率強化,幸運,1,マインクラフト,1
統合版で「雪のネザーゲート」を作るバグ技で使用するアイテムはどれか,雪ブロック,雪玉,粉雪入りバケツ,氷塊,2,マインクラフト,5
クロスボウのダメージを最大化するために、花火のクラフトで大量に混ぜると良いアイテムは何か,火薬,ダイヤモンド,鉄塊,花火の星,3,マインクラフト,5
「ハチミツブロック」の意外な使い道として、モブが飛び越えられない性質を利用した代用品は何か,壁,ドア,柵(フェンス),トラップドア,2,マインクラフト,4
地面を掘らずに地下を透視するバグ技で、砂利と一緒に使用するブロックはどれか,ガラス,フェンス(または壁),ハーフブロック,ドア,1,マインクラフト,5
Ver1.21で追加された「虫食いのポーション」を醸造するために必要な素材はどれか,発酵したクモの目,石,シルバーフィッシュの入り,砂利,1,マインクラフト,4
Ver1.21で追加された武器「メイス」に付与できる、攻撃時に高くジャンプできるエンチャントはどれか,ウィンドバースト(爆風),跳躍,激流,ノックバック,0,マインクラフト,3
Ver1.21で追加された「防具貫通(違反)」エンチャントの最大レベルはいくつか,III,IV,V,I,1,マインクラフト,3
森の洋館に存在する隠し部屋のうち、黒曜石の塊の中に隠されているブロックは何か,金ブロック,ダイヤモンドブロック,エメラルドブロック,ネザライトブロック,1,マインクラフト,5
「怪しげなシチュー」のクラフトで「スズラン」を使用した場合、付与される効果は何か,毒,再生,盲目,弱体化,0,マインクラフト,4
「怪しげなシチュー」のクラフトで「チューリップ」を使用した場合、付与される効果は何か,耐火,弱体化,跳躍,採掘速度低下,1,マインクラフト,4
食料の中で、「ステーキ」や「焼き豚」を食べた時の満腹度回復量はいくつか,6,7,8,10,2,マインクラフト,2
「パン」を食べた時の満腹度回復量はいくつか,4,5,6,8,1,マインクラフト,1
「ケーキ」を設置して1切れ食べた時の満腹度回復量はいくつか,1,2,3,4,1,マインクラフト,2
「コンポスター」を使って骨粉を作る際、一番最初に入れたアイテムはどうなる仕様か,確率で堆肥化する,必ず堆肥化する(層が上がる),消滅する,倍になる,1,マインクラフト,5
鉄鉱石が最も多く生成されるとされるY座標（高さ）はどこか,Y=-64,Y=-16,Y=128,Y=232,3,マインクラフト,5
看板やチャットで記号の「点3つ(...)」を入力すると、どのような絵文字に変換されるか,クリーパー,ハート,剣,ツルハシ,1,マインクラフト,5
統合版で「雪のネザーゲート」を作るバグ技において、発射装置に入れて使用するアイテムはどれか,雪玉,氷塊,雪ブロック,粉雪入りバケツ,3,マインクラフト,5
ラクダに乗った状態で、足元にあるものに向かって釣竿を使うと空を飛べるバグ技で使うものは何か,ボート,トロッコ,防具立て,豚,1,マインクラフト,5
ピグリンの怒りレベルが「1(軽度)」の状態になる条件は何か,走る,金装備を着ていない,チェストを開ける,攻撃する,1,マインクラフト,4
ピグリンの怒りレベルが「3(重度・死ぬまで許さない)」になる条件は何か,金ブロックを壊す,チェストを開ける,ピグリン自身を攻撃する,金塊を投げる,2,マインクラフト,4
ガストの悲鳴のような鳴き声は、何の動物の声を加工したものか,イルカ,猫,犬,フクロウ,1,マインクラフト,3
釣りにおいて「10個のイカスミ」が釣れる確率はどれくらいとされるか,100回に1回,500回に1回,1000回に1回,10000回に1回,2,マインクラフト,5
統合版において、爆発耐性がありマグマでも燃えないが、サボテンに触れると消滅するアイテムはどれか,ネザースター,古代の残骸,ドラゴンの卵,ビーコン,0,マインクラフト,5
村人を「防具鍛冶」に就職させるために必要な職業ブロックはどれか,金床,溶鉱炉,鍛冶台,大釜,1,マインクラフト,2
村人を「肉屋」に就職させるために必要な職業ブロックはどれか,燻製器,焚き火,かまど,樽,0,マインクラフト,2
村人を「石工」に就職させるために必要な職業ブロックはどれか,石臼(砥石),ストーンカッター(石切台),丸石の壁,製図台,1,マインクラフト,2
地図の縮尺を拡張する際、製図台を使うと「地図」と何が必要か,コンパス,経験値,紙(1枚),紙(8枚),2,マインクラフト,2
地図の縮尺を拡張する際、作業台を使うと「地図」と何が必要か,コンパス,紙(1枚),紙(4枚),紙(8枚),3,マインクラフト,2
地図の縮尺を最大まで拡張(レベル4)した際、表示範囲は何ブロック四方になるか,512x512,1024x1024,2048x2048,4096x4096,2,マインクラフト,3
地図を持った際、プレイヤーが向いている方角が「上」を指している場合、それはどの方角か,東,西,南,北,3,マインクラフト,2
「金のニンジン」の満腹度回復量はいくつか,4,6,8,10,1,マインクラフト,3
「金のリンゴ(通常)」を食べた時の満腹度回復量はいくつか,2,4,6,8,1,マインクラフト,3
Ver1.21で追加された「ヘビーコア」は何を作るための素材か,メイス,トライアルスポナー,銅のドア,風のチャージ,0,マインクラフト,2
「イリュージョナー(未実装モブ)」をボートに乗せると行う奇妙な行動は何か,ボートを漕ぐ,透明になる,後ろ向きに矢を放つ,分身する,2,マインクラフト,5
未使用データの「ゾンビホース」のテクスチャファイルに隠されている図は何の展開図か,鞍(サドル),防具,チェスト,ニンジン,0,マインクラフト,5
エンチャントテーブルに表示される「銀河標準語」を解読した際に出てくる、ある有名なRPGのタイトルは何か,ファイナルファンタジー,ウィザードリィ,ザ・エルダースクロールズ,ウルティマ,2,マインクラフト,5
リスポーンアンカーの環境音を逆再生すると何の音に聞こえるか,エンドポータルの音,ネザーポータルの音,ガストの鳴き声,レコード11,1,マインクラフト,5
ウーパールーパーの幻の色とされ、トレーラーには映っていたが現在は出現率0%となっている色はどれか,赤色,緑色,紫色,黒色,1,マインクラフト,5
ファントムを効率よく倒すために、着地地点に設置して捕獲するのにおすすめなアイテムは何か,トロッコ,ボート,クモの巣,ハチミツブロック,1,マインクラフト,4
「泡」がある場所に粉雪を使ってバグで作ることができる、本来ありえない状態は何か,凍った泡,水のない泡,燃える泡,黒い泡,1,マインクラフト,5
エンチャント「落下耐性」が持つ、落下ダメージ軽減以外の隠れた効果は何か,移動速度低下を防ぐ,エンダーパール使用時のダメージ軽減,ノックバックを無効化,スニーク速度上昇,1,マインクラフト,4
クロスボウで花火を撃つ際、ダメージを2～3倍に増やすために花火のクラフトで大量に入れると良いものは何か,火薬,ダイヤモンド,花火の星,紙,2,マインクラフト,4
柵(フェンス)の代わりとして使用できる、モブが飛び越えられない「ブロックと穴」の組み合わせで使うブロックは何か,スライムブロック,ハチミツブロック,マグマブロック,ソウルサンド,1,マインクラフト,4
地下を透視するバグ技で、フェンスの上から落として自分の頭に埋めるアイテムは何か,砂,砂利,金床,コンクリートパウダー,1,マインクラフト,5
村人が寝ている時の姿勢(腕の位置)はどうなっているか,常に胸の上で組んでいる,常に気をつけの姿勢,万歳などランダムで決まる,枕の下に入れている,2,マインクラフト,5
スニッファーの卵を「コケブロック」の上に置くと、孵化時間は約何分になるか,5分,10分,15分,20分,1,マインクラフト,3
統合版において、敵モブが持っている装備を新品の状態で確実に入手するために行う行動は何か,より良い装備を投げ渡す,水をかける,雷に打たせる,透明化のポーションをかける,0,マインクラフト,4
「アイテムのレアリティ色」において、エンチャントされた金リンゴやコマンドブロックは何色(ランク)に分類されるか,白(コモン),黄(アンコモン),水色(レア),紫(エピック),3,マインクラフト,4
森の洋館の隠し部屋にある「トラップチェスト」を開けると、TNTが起爆して何が出現するトラップがあるか,クリーパー,シルバーフィッシュ,ヴェックス,大量の砂,1,マインクラフト,5
「製図台」を作成するために必要な材料は「紙」と何か,原木,板材,棒,ハーフブロック,1,マインクラフト,2
「機織り機」を作成するために必要な材料は「板材」と何か,棒,羊毛,糸,鉄インゴット,2,マインクラフト,2
「樽」を作成するために必要な材料は「板材」と何か(統合版レシピ),棒,ハーフブロック,鉄塊,原木,1,マインクラフト,2
「調合台(醸造台)」を作成するために必要な材料は「ブレイズロッド」と何か,丸石,鉄インゴット,滑らかな石,レンガ,0,マインクラフト,2
「矢細工台」を作成するために必要な材料は「板材」と何か,棒,羽根,火打石,鉄塊,2,マインクラフト,2
Ver1.21で追加された「虫食いのポーション」を醸造するために必要な素材はどれか,発酵したクモの目,石,シルバーフィッシュの入り,砂利,1,マインクラフト,4
Ver1.21で追加された武器「メイス」に付与できる、攻撃時に高くジャンプできるエンチャントはどれか,ウィンドバースト(爆風),跳躍,激流,ノックバック,0,マインクラフト,3
Ver1.21で追加された「防具貫通(違反)」エンチャントの最大レベルはいくつか,III,IV,V,I,1,マインクラフト,3
森の洋館に存在する隠し部屋のうち、黒曜石の塊の中に隠されているブロックは何か,金ブロック,ダイヤモンドブロック,エメラルドブロック,ネザライトブロック,1,マインクラフト,5
「怪しげなシチュー」のクラフトで「スズラン」を使用した場合、付与される効果は何か,毒,再生,盲目,弱体化,0,マインクラフト,4
「怪しげなシチュー」のクラフトで「チューリップ」を使用した場合、付与される効果は何か,耐火,弱体化,跳躍,採掘速度低下,1,マインクラフト,4
食料の中で、「ステーキ」や「焼き豚」を食べた時の満腹度回復量はいくつか,6,7,8,10,2,マインクラフト,2
「パン」を食べた時の満腹度回復量はいくつか,4,5,6,8,1,マインクラフト,1
「ケーキ」を設置して1切れ食べた時の満腹度回復量はいくつか,1,2,3,4,1,マインクラフト,2
「コンポスター」を使って骨粉を作る際、一番最初に入れたアイテムはどうなる仕様か,確率で堆肥化する,必ず堆肥化する(層が上がる),消滅する,倍になる,1,マインクラフト,5
鉄鉱石が最も多く生成されるとされるY座標（高さ）はどこか,Y=-64,Y=-16,Y=128,Y=232,3,マインクラフト,5
看板やチャットで記号の「点3つ(...)」を入力すると、どのような絵文字に変換されるか,クリーパー,ハート,剣,ツルハシ,1,マインクラフト,5
統合版で「雪のネザーゲート」を作るバグ技において、発射装置に入れて使用するアイテムはどれか,雪玉,氷塊,雪ブロック,粉雪入りバケツ,3,マインクラフト,5
ラクダに乗った状態で、足元にあるものに向かって釣竿を使うと空を飛べるバグ技で使うものは何か,ボート,トロッコ,防具立て,豚,1,マインクラフト,5
ピグリンの怒りレベルが「1(軽度)」の状態になる条件は何か,走る,金装備を着ていない,チェストを開ける,攻撃する,1,マインクラフト,4
ピグリンの怒りレベルが「3(重度・死ぬまで許さない)」になる条件は何か,金ブロックを壊す,チェストを開ける,ピグリン自身を攻撃する,金塊を投げる,2,マインクラフト,4
ガストの悲鳴のような鳴き声は、何の動物の声を加工したものか,イルカ,猫,犬,フクロウ,1,マインクラフト,3
釣りにおいて「10個のイカスミ」が釣れる確率はどれくらいとされるか,100回に1回,500回に1回,1000回に1回,10000回に1回,2,マインクラフト,5
統合版において、爆発耐性がありマグマでも燃えないが、サボテンに触れると消滅するアイテムはどれか,ネザースター,古代の残骸,ドラゴンの卵,ビーコン,0,マインクラフト,5
村人を「防具鍛冶」に就職させるために必要な職業ブロックはどれか,金床,溶鉱炉,鍛冶台,大釜,1,マインクラフト,2
村人を「肉屋」に就職させるために必要な職業ブロックはどれか,燻製器,焚き火,かまど,樽,0,マインクラフト,2
村人を「石工」に就職させるために必要な職業ブロックはどれか,石臼(砥石),ストーンカッター(石切台),丸石の壁,製図台,1,マインクラフト,2
地図の縮尺を拡張する際、製図台を使うと「地図」と何が必要か,コンパス,経験値,紙(1枚),紙(8枚),2,マインクラフト,2
地図の縮尺を拡張する際、作業台を使うと「地図」と何が必要か,コンパス,紙(1枚),紙(4枚),紙(8枚),3,マインクラフト,2
地図の縮尺を最大まで拡張(レベル4)した際、表示範囲は何ブロック四方になるか,512x512,1024x1024,2048x2048,4096x4096,2,マインクラフト,3
地図を持った際、プレイヤーが向いている方角が「上」を指している場合、それはどの方角か,東,西,南,北,3,マインクラフト,2
「金のニンジン」の満腹度回復量はいくつか,4,6,8,10,1,マインクラフト,3
「金のリンゴ(通常)」を食べた時の満腹度回復量はいくつか,2,4,6,8,1,マインクラフト,3
Ver1.21で追加された「ヘビーコア」は何を作るための素材か,メイス,トライアルスポナー,銅のドア,風のチャージ,0,マインクラフト,2
「イリュージョナー(未実装モブ)」をボートに乗せると行う奇妙な行動は何か,ボートを漕ぐ,透明になる,後ろ向きに矢を放つ,分身する,2,マインクラフト,5
未使用データの「ゾンビホース」のテクスチャファイルに隠されている図は何の展開図か,鞍(サドル),防具,チェスト,ニンジン,0,マインクラフト,5
エンチャントテーブルに表示される「銀河標準語」を解読した際に出てくる、ある有名なRPGのタイトルは何か,ファイナルファンタジー,ウィザードリィ,ザ・エルダースクロールズ,ウルティマ,2,マインクラフト,5
リスポーンアンカーの環境音を逆再生すると何の音に聞こえるか,エンドポータルの音,ネザーポータルの音,ガストの鳴き声,レコード11,1,マインクラフト,5
ウーパールーパーの幻の色とされ、トレーラーには映っていたが現在は出現率0%となっている色はどれか,赤色,緑色,紫色,黒色,1,マインクラフト,5
ファントムを効率よく倒すために、着地地点に設置して捕獲するのにおすすめなアイテムは何か,トロッコ,ボート,クモの巣,ハチミツブロック,1,マインクラフト,4
「泡」がある場所に粉雪を使ってバグで作ることができる、本来ありえない状態は何か,凍った泡,水のない泡,燃える泡,黒い泡,1,マインクラフト,5
エンチャント「落下耐性」が持つ、落下ダメージ軽減以外の隠れた効果は何か,移動速度低下を防ぐ,エンダーパール使用時のダメージ軽減,ノックバックを無効化,スニーク速度上昇,1,マインクラフト,4
クロスボウで花火を撃つ際、ダメージを2～3倍に増やすために花火のクラフトで大量に入れると良いものは何か,火薬,ダイヤモンド,花火の星,紙,2,マインクラフト,4
柵(フェンス)の代わりとして使用できる、モブが飛び越えられない「ブロックと穴」の組み合わせで使うブロックは何か,スライムブロック,ハチミツブロック,マグマブロック,ソウルサンド,1,マインクラフト,4
地下を透視するバグ技で、フェンスの上から落として自分の頭に埋めるアイテムは何か,砂,砂利,金床,コンクリートパウダー,1,マインクラフト,5
村人が寝ている時の姿勢(腕の位置)はどうなっているか,常に胸の上で組んでいる,常に気をつけの姿勢,万歳などランダムで決まる,枕の下に入れている,2,マインクラフト,5
